#RUN	GRID	lat	lon	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	41	28.5	97.75	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4994	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	42	28.5	97.8	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	5020	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	43	28.5	97.85	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4063	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	44	28.5	97.9	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4513	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	45	28.5	97.95	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4591	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	46	28.5	98	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4310	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	47	28.5	98.05	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4141	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	48	28.5	98.1	0.4	0.9	10	0.6	2	13.6	19.04	472.8	424.8	-999	-999	0.051212887	0.438754147	4321	0.2	0.8	16	4	40.12	56.43	0.24	0.24	1430	1510	2650	2650	2	0.69047619	0.739130435	0.333333333	0.456521739	0.001	0.0005	1500	0.027	0.075	0
1	49	28.5	98.15	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4255	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	50	28.45	97.5	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4490	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	51	28.45	97.55	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4008	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	52	28.45	97.6	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4625	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	53	28.45	97.65	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4002	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	54	28.45	97.7	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.04655717	0.04655717	4446	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1300	1300	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
